id,name,website,latitude,longitude
61,Courtyard Washington Downtown/Convention Center,https://www.marriott.com/en-us/hotels/wasyv-courtyard-washington-downtown-convention-center/overview,38.904317,-77.024419
62,"Courtyard Washington, DC Dupont Circle",https://www.marriott.com/hotels/travel/wasnc-courtyard-washington-dc-dupont-circle/,38.90742,-77.039708
63,"Crowne Plaza Crystal City-Washington, D.C.",https://www.ihg.com/crowneplaza/hotels/us/en/arlington/wasna/hoteldetail,38.860595,-77.050241
64,Crystal City Marriott at Reagan National Airport,https://www.marriott.com/WASCC,38.856629,-77.05157
65,Crystal Gateway Marriott,https://www.marriott.com/WASGW,38.858669,-77.052671
66,DUO Housing,http://duohousing.com/,38.906466,-77.026732
67,Days Inn,https://www.wyndhamhotels.com/days-inn/washington-district-of-columbia/days-inn-washington-dc-connecticut-avenue/overview?CID=LC:iqv0j1dklijly45:06507&iata=00093796,38.946943,-77.065618
68,Days Inn,https://www.wyndhamhotels.com/days-inn/silver-spring-maryland/days-inn-silver-spring/overview,38.987486,-77.02851
69,District Hotel,https://dcembassyinn.wixsite.com/district,38.908122,-77.033312
70,DoubleTree,https://www.hilton.com/en/hotels/mcldtdt-doubletree-mclean-tysons/,38.920259,-77.227274
71,DoubleTree,https://www.hilton.com/en/hotels/dcagsdt-doubletree-silver-spring-washington-dc-north/,38.998773,-77.030338
72,DoubleTree by Hilton Hotel Washington DC - Crystal City,https://www.hilton.com/en/hotels/dcaaedt-doubletree-washington-dc-crystal-city/,38.863924,-77.052755
73,Dupont Circle Hotel,https://www.doylecollection.com/Washington,38.910652,-77.04301
74,"EVEN Hotel Rockville - Washington, D.C. Area",https://www.ihg.com/evenhotels/hotels/us/en/rockville/wasrk/hoteldetail,39.059999,-77.123464
75,Eaton DC,https://www.eatonworkshop.com/en-us/washington-dc/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,38.902787,-77.028462
76,Econo Lodge Metro,https://www.choicehotels.com/virginia/arlington/econo-lodge-hotels/va166?mc=llgoxxpx,38.886839,-77.162128
77,Eldon Luxury Suites,https://www.thehoteleldon.com/,38.904386,-77.02541
78,Embassy Inn,https://dupontcirclefound.hotelsofwashington.com/en/,38.9121,-77.034333
79,Embassy Suites Crystal City National Airport,https://www.hilton.com/en/hotels/wascres-embassy-suites-crystal-city-national-airport/,38.861372,-77.052601
80,Embassy Suites Downtown,https://www.hilton.com/en/hotels/wasdnes-embassy-suites-washington-dc-georgetown/?SEO_id=GMB-AMER-ES-WASDNES&y_source=1_MTExMDA4Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,38.906849,-77.049445
81,Embassy Suites Tysons Corner,https://www.hilton.com/en/hotels/wastses-embassy-suites-tysons-corner/,38.925481,-77.240126
82,Embassy Suites by Hilton Alexandria-Old Town,https://www.hilton.com/en/hotels/wasotes-embassy-suites-alexandria-old-town/,38.805277,-77.061283
83,Embassy Suites by Hilton Washington DC Chevy Chase Pavilion,https://www.hilton.com/en/hotels/wasches-embassy-suites-washington-dc-chevy-chase-pavilion/,38.960764,-77.084848
